ISO3,Country Name,Region,SIDS,LDCs,# RP,# FA,RP Financing $,FA Financing $
AFG,Afghanistan,Asia-Pacific,TRUE,TRUE,3,1,1599987,17198843
BHR,Bahrain,Asia-Pacific,TRUE,FALSE,0,1,,2320388
BGD,Bangladesh,Asia-Pacific,FALSE,TRUE,8,10,6120068.78,464313178.15
BTN,Bhutan,Asia-Pacific,FALSE,FALSE,8,3,7262254.44,61904548
BRN,Brunei Darussalam,Asia-Pacific,FALSE,FALSE,0,0,,
KHM,Cambodia,Asia-Pacific,FALSE,TRUE,14,12,5633291.76,357454221.66
CHN,China,Asia-Pacific,FALSE,FALSE,0,1,,100000000
COK,Cook Islands,Asia-Pacific,TRUE,FALSE,8,5,8565348.47,71925448.92
PRK,Democratic People's Republic of Korea (the),Asia-Pacific,FALSE,FALSE,1,0,752090,
FJI,Fiji,Asia-Pacific,TRUE,FALSE,3,7,3483328,72979078.23
IND,India,Asia-Pacific,FALSE,FALSE,5,15,5600000,1048873793.89
IDN,Indonesia,Asia-Pacific,FALSE,FALSE,5,20,7555002,589275529.68
IRN,Iran (Islamic Republic of),Asia-Pacific,FALSE,FALSE,3,0,4406053,
IRQ,Iraq,Asia-Pacific,FALSE,FALSE,5,2,5195033.4,49473682
JOR,Jordan,Asia-Pacific,FALSE,FALSE,9,10,5668827.4,456146340.78
KAZ,Kazakhstan,Asia-Pacific,FALSE,FALSE,4,5,4334182,216478785.74
KIR,Kiribati,Asia-Pacific,TRUE,TRUE,2,2,1582874,36152500.12
KWT,Kuwait,Asia-Pacific,FALSE,FALSE,0,0,,
KGZ,Kyrgyzstan,Asia-Pacific,FALSE,FALSE,6,6,5339944,117266913.74
LAO,Lao People's Democratic Republic (the),Asia-Pacific,FALSE,TRUE,17,10,9092428.75,267151068.83
LBN,Lebanon,Asia-Pacific,FALSE,FALSE,5,2,5498891.4,4008985
MYS,Malaysia,Asia-Pacific,FALSE,FALSE,5,2,4848327,69548611.11
MDV,Maldives,Asia-Pacific,TRUE,FALSE,5,4,7078674,77362880
MHL,Marshall Islands,Asia-Pacific,TRUE,FALSE,4,7,2398080,66537551.67
FSM,Micronesia (Federated States of),Asia-Pacific,TRUE,FALSE,9,6,6841735.39,56043048.62
MNG,Mongolia,Asia-Pacific,FALSE,FALSE,10,13,8301225,485017239.67
MMR,Myanmar,Asia-Pacific,FALSE,TRUE,7,2,5269931,4011985
NRU,Nauru,Asia-Pacific,TRUE,FALSE,4,3,3093796,36860100.12
NPL,Nepal,Asia-Pacific,FALSE,TRUE,5,5,5523863,148264783.74
NIU,Niue,Asia-Pacific,TRUE,FALSE,4,2,1339759,17002114.92
OMN,Oman,Asia-Pacific,FALSE,FALSE,6,0,5614860.4,
PAK,Pakistan,Asia-Pacific,FALSE,FALSE,9,11,6136870.44,331727118
PLW,Palau,Asia-Pacific,TRUE,FALSE,7,3,5314293,19937885.67
PNG,Papua New Guinea,Asia-Pacific,TRUE,FALSE,5,5,4291757,89863856.12
PHL,Philippines (the),Asia-Pacific,FALSE,FALSE,6,11,2662942,184345299.05
QAT,Qatar,Asia-Pacific,FALSE,FALSE,0,0,,
KOR,Republic of Korea (the),Asia-Pacific,FALSE,FALSE,0,0,,
WSM,Samoa,Asia-Pacific,TRUE,FALSE,2,3,1034409,67668100.12
SAU,Saudi Arabia,Asia-Pacific,FALSE,FALSE,0,0,,
SGP,Singapore,Asia-Pacific,TRUE,FALSE,0,0,,
SLB,Solomon Islands,Asia-Pacific,TRUE,TRUE,3,3,3056753,118486594.12
LKA,Sri Lanka,Asia-Pacific,FALSE,FALSE,6,5,7467632,106072115.74
PSE,State of Palestine,Asia-Pacific,FALSE,FALSE,8,1,5486368.4,27441877.31
SYR,Syrian Arab Republic,Asia-Pacific,FALSE,FALSE,3,0,1861082.8,
TJK,Tajikistan,Asia-Pacific,FALSE,FALSE,6,9,5699687,173469586
THA,Thailand,Asia-Pacific,FALSE,FALSE,11,3,7469000,73956771.99
TLS,Timor-Leste,Asia-Pacific,TRUE,TRUE,6,4,2799300,65313749.33
TON,Tonga,Asia-Pacific,TRUE,FALSE,12,6,6110929.9,78070535.46
TKM,Turkmenistan,Asia-Pacific,FALSE,FALSE,3,1,3046858,27500000
TUV,Tuvalu,Asia-Pacific,TRUE,TRUE,4,3,6144806,53012114.92
ARE,United Arab Emirates,Asia-Pacific,FALSE,FALSE,0,0,,
UZB,Uzbekistan,Asia-Pacific,FALSE,FALSE,2,8,2225319,189726600.74
VUT,Vanuatu,Asia-Pacific,TRUE,FALSE,10,6,6718814,105962391.12
VNM,Viet Nam,Asia-Pacific,FALSE,FALSE,5,6,4688659,210572567
YEM,Yemen,Asia-Pacific,FALSE,TRUE,6,0,6386348,